,sensor_id,group,test,predict,lower,upper,std_test,std_predict,std_lower,std_upper
2019-08-28 02:00:00,1,1,27,0,0,581,-0.9969745530735613,-1.010422271022568,-1.010422271022568,-0.5823434752602464
2019-08-28 03:00:00,1,1,17,0,0,578,-1.004445507489676,-1.010422271022568,-1.010422271022568,-0.5850001399627798
2019-08-28 04:00:00,1,1,19,0,0,659,-1.0029513166064532,-1.010422271022568,-1.010422271022568,-0.5246351287456857
2019-08-28 05:00:00,1,1,24,0,0,981,-0.9992158393983958,-1.010422271022568,-1.010422271022568,-0.28403771628088004
2019-08-28 06:00:00,1,1,120,267,107,1534,-0.9274946770036925,-0.8172714284978968,-0.9368802081115906,0.12956300235931062
2019-08-28 07:00:00,1,1,390,821,1197,2624,-0.7257789077685894,-0.4036978415324857,-0.1226964514495687,0.94380150126336
2019-08-28 08:00:00,1,1,873,1910,753,2181,-0.36493180947023857,0.4105130792712224,-0.4541434671626241,0.6124101156344208
2019-08-28 09:00:00,1,1,1047,1467,804,2232,-0.23493720262983886,0.07909393883031365,-0.4161143196163123,0.650494625414601
2019-08-28 10:00:00,1,1,1322,1518,1207,2635,-0.029485956186678396,0.11715091116673165,-0.11516217077409846,0.95150151159765
2019-08-28 11:00:00,1,1,2035,1921,2602,4030,0.5031930936823158,0.41813053468251365,0.9271493031331457,1.993867267787996
2019-08-28 12:00:00,1,1,3164,3316,2714,4142,1.346663847261691,1.4604690540034744,1.011149829114616,2.0779224879789977
2019-08-28 13:00:00,1,1,3369,3428,1999,3427,1.4998184127920469,1.544496810290139,0.476926303789278,1.5437541568921085
2019-08-28 14:00:00,1,1,2811,2713,2030,3458,1.082939156372834,1.0103008815621324,0.5000568527470471,1.5669398970322423
2019-08-28 15:00:00,1,1,2809,2744,2348,3776,1.081444965489611,1.033459100098941,0.7374366674827498,1.8043745792056392
2019-08-28 16:00:00,1,1,2791,3062,3215,4643,1.067997247540604,1.270866422593927,1.3850679488457458,2.452060408083421
2019-08-28 17:00:00,1,1,3386,3929,2320,3748,1.5125190352994422,1.9185249395414938,0.7162337618459945,1.783280931841074
2019-08-28 18:00:00,1,1,2562,3034,1311,2739,0.8969123914115724,1.2497180452080894,-0.03736328295232211,1.0297388653687727
2019-08-28 19:00:00,1,1,1353,2025,876,2305,-0.006325997496722127,0.49614847143845664,-0.3621174192312229,0.7050397814708613
2019-08-28 20:00:00,1,1,792,1590,438,1866,-0.42544654024076944,0.17142189705409241,-0.6895726044578889,0.37763949063271496
2019-08-28 21:00:00,1,1,453,1152,6,1434,-0.6787118949470654,-0.15600579483689883,-1.010422271022568,0.0547782216197964
2019-08-28 22:00:00,1,1,347,720,0,959,-0.7579040117578837,-0.478894421822558,-1.010422271022568,-0.30049754024582065
2019-08-28 23:00:00,1,1,105,244,0,741,-0.9387011086278648,-0.8341975858199818,-1.010422271022568,-0.4632795223153421
2019-08-29 00:00:00,1,1,51,26,0,635,-0.9790442624748854,-0.9970070245110811,-1.010422271022568,-0.54265804989395
2019-08-29 01:00:00,1,1,36,0,0,594,-0.9902506940990579,-1.010422271022568,-1.010422271022568,-0.5727607080409983
2019-08-29 02:00:00,1,1,23,0,0,590,-0.9999629348400072,-1.010422271022568,-1.010422271022568,-0.5756460719480647
2019-08-29 03:00:00,1,1,9,0,0,583,-1.010422271022568,-1.010422271022568,-1.010422271022568,-0.5810049831778127
2019-08-29 04:00:00,1,1,17,0,0,652,-1.004445507489676,-1.010422271022568,-1.010422271022568,-0.5296365563890713
2019-08-29 05:00:00,1,1,22,0,0,993,-1.0007100302816188,-1.010422271022568,-1.010422271022568,-0.27467003145532154
2019-08-29 06:00:00,1,1,114,279,116,1545,-0.9319772496533614,-0.8085620536030858,-0.9304124507692074,0.13734788719622604
2019-08-29 07:00:00,1,1,365,830,1128,2558,-0.7444562938088768,-0.39657154915963183,-0.17383617506138221,0.8939789550845896
2019-08-29 08:00:00,1,1,952,1843,844,2273,-0.30591126958293063,0.36003212575008464,-0.38640008151930183,0.6814698248852511
2019-08-29 09:00:00,1,1,1072,1558,821,2250,-0.21625981658955154,0.14749560042316442,-0.40347281964829945,0.6644518909946775
2019-08-29 10:00:00,1,1,1386,1536,1328,2758,0.01832815207645713,0.1304502551755524,-0.024259759541594317,1.0437197924275587
2019-08-29 11:00:00,1,1,2073,2043,2671,4100,0.5315827204635525,0.5096907373944436,0.9784112274027095,2.0464456111413076
2019-08-29 12:00:00,1,1,3329,3385,2857,4286,1.4699345951275873,1.512389147530239,1.117462975640067,2.1855521562464224
2019-08-29 13:00:00,1,1,3740,3571,2239,3668,1.7769908216299106,1.6514682975886268,0.6556568486056469,1.7238008086816683
2019-08-29 14:00:00,1,1,3016,2953,2212,3642,1.23609372190319,1.1896895574642925,0.6360358009367402,1.704234550730141
2019-08-29 15:00:00,1,1,2930,2927,2480,3910,1.1718435139246017,1.170095899144131,0.836081989969756,1.9043355509073105
2019-08-29 16:00:00,1,1,3029,3195,3461,4891,1.2458059626441393,1.3701694934925563,1.5688100261662203,2.637118396188579
2019-08-29 17:00:00,1,1,3810,4176,2696,4126,1.829287502542715,2.1029249377116193,0.9972988734885174,2.0656620335855003
2019-08-29 18:00:00,1,1,3127,3411,1765,3195,1.3190213159220656,1.531441182718523,0.30180068290219086,1.3702186184627643
2019-08-29 19:00:00,1,1,1946,2480,1470,2901,0.43670159937889297,0.835970378948207,0.08173619016560019,1.1502089035306655
2019-08-29 20:00:00,1,1,1527,2185,1139,2570,0.12366860934367759,0.6159332720588069,-0.16552814263039006,0.9029993601340855
2019-08-29 21:00:00,1,1,838,1854,849,2280,-0.3910801499266408,0.3686963332340065,-0.38223696277822805,0.686345329670194
2019-08-29 22:00:00,1,1,1025,1564,20,1451,-0.2513733023452917,0.15201490945279653,-1.0014867992718173,0.06715027132595636
2019-08-29 23:00:00,1,1,265,736,0,1015,-0.8191658379700261,-0.46720753618175814,-1.010422271022568,-0.2584687564031194
2019-08-30 00:00:00,1,1,175,300,0,753,-0.8864044277150603,-0.7928539472430916,-1.010422271022568,-0.45454030701157355
2019-08-30 01:00:00,1,1,106,37,0,688,-0.9379540131862534,-0.9889528822873921,-1.010422271022568,-0.5025838673894346
2019-08-30 02:00:00,1,1,78,0,0,649,-0.9588726855513752,-1.010422271022568,-1.010422271022568,-0.5318990905617685
2019-08-30 03:00:00,1,1,62,0,0,633,-0.9708262126171591,-1.010422271022568,-1.010422271022568,-0.5442032797795784
2019-08-30 04:00:00,1,1,41,0,0,673,-0.9865152168910004,-1.010422271022568,-1.010422271022568,-0.5143473920952264
2019-08-30 05:00:00,1,1,26,0,0,981,-0.9977216485151728,-1.010422271022568,-1.010422271022568,-0.28404838843608227
2019-08-30 06:00:00,1,1,146,265,93,1524,-0.9080701955217937,-0.818597871388794,-0.9474900424880948,0.1215851338377012
2019-08-30 07:00:00,1,1,379,808,1188,2619,-0.7339969576263159,-0.41299172844052995,-0.12951405612937605,0.9396158803503797
2019-08-30 08:00:00,1,1,980,1903,867,2298,-0.28499259721780884,0.40501163815597535,-0.3689975420354287,0.7001871451622945
2019-08-30 09:00:00,1,1,1042,1583,1023,2454,-0.2386726798378963,0.16555552824915448,-0.25253735467045046,0.8167020717486774
2019-08-30 10:00:00,1,1,1559,1738,1643,3075,0.14757566347524534,0.28204308544187706,0.2110193647491485,1.2803135267185044
2019-08-30 11:00:00,1,1,2415,2359,3128,4560,0.787089361494683,0.7456271722968865,1.3202736391147258,2.3896225446490607
2019-08-30 12:00:00,1,1,3787,3844,2991,4422,1.8121043073856509,1.854908818047453,1.2176146626479545,2.2870183183285513
2019-08-30 13:00:00,1,1,3928,3706,2405,3836,1.9174447646528712,1.752277216631024,0.7797730345184679,1.8492314291293879
2019-08-30 14:00:00,1,1,3460,3120,2440,3871,1.5678040979786927,1.3144629583315297,0.8058431904051887,1.875356308075259
2019-08-30 15:00:00,1,1,3629,3155,2933,4365,1.694063227611035,1.3405604759672298,1.1744780227147356,2.2440458548713114
2019-08-30 16:00:00,1,1,3978,3649,4067,5498,1.9547995367334459,1.7092226654050027,2.0213600016395983,3.090982562573804
2019-08-30 17:00:00,1,1,4607,4782,3792,5224,2.424722569507075,2.556132008420281,1.8164844536909772,2.8861617584990684
2019-08-30 18:00:00,1,1,4130,4508,3077,4509,2.068358043858393,2.3512838322924225,1.2820391832765856,2.3517712198267753
2019-08-30 19:00:00,1,1,3068,3793,3016,4448,1.2749426848669876,1.816865927958752,1.2362249840335693,2.3060117273748917
2019-08-30 20:00:00,1,1,2489,3732,2631,4063,0.8423744241739334,1.7710790823410647,0.9489368705167275,2.018778299602495
2019-08-30 21:00:00,1,1,1564,3347,2436,3868,0.1513111406833028,1.4838183117246329,0.8031056756405074,1.873001815289736
2019-08-30 22:00:00,1,1,1133,3152,1492,2925,-0.17068699465125048,1.338014471866894,0.09825042383437332,1.1682013050514033
2019-08-30 23:00:00,1,1,742,2208,505,1937,-0.4628013123213441,0.633186590640554,-0.6397599374244816,0.430245677925277
