date_time,sensor_id,group,test,predict,lower,upper,std_test,std_predict,std_lower,std_upper
2019-08-26 00:00:00,1,1,74,86,0,446,-0.9618610673178212,-0.9524057024114154,-1.010422271022568,-0.6835133366240745
2019-08-26 01:00:00,1,1,66,161,0,490,-0.9678378308507132,-0.8964988696418207,-1.010422271022568,-0.6504461640645657
2019-08-26 02:00:00,1,1,20,159,0,444,-1.0022042211648416,-0.8981514347509487,-1.010422271022568,-0.6853266377726188
2019-08-26 03:00:00,1,1,10,81,0,444,-1.0096751755809563,-0.9560863070352116,-1.010422271022568,-0.685334686072216
2019-08-26 04:00:00,1,1,15,61,0,432,-1.0059396983728992,-0.970900555515516,-1.010422271022568,-0.6939854748822534
2019-08-26 05:00:00,1,1,30,26,0,563,-0.9947332667487268,-0.9970900754174079,-1.010422271022568,-0.5965045046865787
2019-08-26 06:00:00,1,1,111,135,31,902,-0.934218535978196,-0.9156634999477492,-0.99329845418192,-0.34276170148974106
2019-08-26 07:00:00,1,1,383,470,532,1408,-0.7310085758598699,-0.6657299351017718,-0.6196733244124006,0.034916399851153856
2019-08-26 08:00:00,1,1,844,971,616,1494,-0.3865975772769719,-0.29103805579308684,-0.5563696455196887,0.0995076412862456
2019-08-26 09:00:00,1,1,935,1058,988,1869,-0.31861189209032603,-0.22655956851096154,-0.27865994474579275,0.3798161306130141
2019-08-26 10:00:00,1,1,1348,1432,1539,2428,-0.010061474704779591,0.053377517431762916,0.1329661410036298,0.7974051217366623
2019-08-26 11:00:00,1,1,1877,1986,2927,3820,0.38515201390770004,0.4670001219752044,1.1699588477100558,1.8368185717829395
2019-08-26 12:00:00,1,1,3217,3375,2792,3685,1.3862599056671,1.504435083108781,1.0689652761492303,1.736549393737391
2019-08-26 13:00:00,1,1,3434,3239,2131,3025,1.548379616496794,1.403368203251429,0.5750748040887836,1.2428394201230433
2019-08-26 14:00:00,1,1,2760,2578,2330,3223,1.044837288850648,0.9090244934570064,0.723810431222197,1.3914591032353862
2019-08-26 15:00:00,1,1,2700,2778,2220,3115,1.0000115623539585,1.058876709118774,0.6417881571054216,1.3104967832672807
2019-08-26 16:00:00,1,1,2856,2669,2620,3516,1.1165584512453512,0.9773801168398568,0.9406226884872596,1.6103854724688655
2019-08-26 17:00:00,1,1,2980,3069,1992,2889,1.2091982860051762,1.27636526387859,0.4713889827753646,1.1415991689059275
2019-08-26 18:00:00,1,1,2316,2441,930,1828,0.7131269127751452,0.8071525317690139,-0.3218321104574576,0.3485995062842421
2019-08-26 19:00:00,1,1,1340,1379,310,1207,-0.01603823823767153,0.013334194295165651,-0.7852313888615283,-0.11490627289010395
2019-08-26 20:00:00,1,1,724,759,6,903,-0.4762490302703509,-0.4498150335489372,-1.010422271022568,-0.3417917289208192
2019-08-26 21:00:00,1,1,479,456,0,714,-0.6592874134651666,-0.6760610575659863,-1.010422271022568,-0.4835226571826826
2019-08-26 22:00:00,1,1,246,266,0,592,-0.8333606513606444,-0.8182507526239821,-1.010422271022568,-0.5743731424253427
2019-08-26 23:00:00,1,1,130,144,0,541,-0.9200237225875776,-0.9090131539267092,-1.010422271022568,-0.6123403013714129
2019-08-27 00:00:00,1,1,48,92,0,538,-0.98128554879972,-0.9476901789821124,-1.010422271022568,-0.6148966779943146
2019-08-27 01:00:00,1,1,32,89,0,522,-0.993239075865504,-0.9504751207833684,-1.010422271022568,-0.6268856400593148
2019-08-27 02:00:00,1,1,15,73,0,496,-1.0059396983728992,-0.9619589843136138,-1.010422271022568,-0.6465855750678766
2019-08-27 03:00:00,1,1,11,47,0,499,-1.0089280801393452,-0.981669429415664,-1.010422271022568,-0.6437479171987361
2019-08-27 04:00:00,1,1,10,51,0,521,-1.0096751755809563,-0.9787130787379614,-1.010422271022568,-0.6278042807367672
2019-08-27 05:00:00,1,1,31,72,0,626,-0.9939861713071152,-0.9628747893752708,-1.010422271022568,-0.5494501488589707
2019-08-27 06:00:00,1,1,131,176,7,906,-0.919276627145966,-0.8851043003896374,-1.010422271022568,-0.3399242867302329
2019-08-27 07:00:00,1,1,391,457,558,1457,-0.725031812326978,-0.6753408555695504,-0.5999617347504891,0.0714412489144734
2019-08-27 08:00:00,1,1,948,1008,631,1530,-0.30889965134937664,-0.26389614332923383,-0.5452041822907806,0.12618534484528468
2019-08-27 09:00:00,1,1,1025,1081,777,1676,-0.2513733023452917,-0.20907770771221146,-0.436297554531625,0.2351154120834712
2019-08-27 10:00:00,1,1,1158,1227,1615,2514,-0.1520096086109632,-0.0999376610670148,0.18983477979005914,0.8614575055572876
2019-08-27 11:00:00,1,1,2001,2065,2690,3589,0.477791848667525,0.5260126402641326,0.9927271121898188,1.6643388540360509
